statename,stateabb,year,imports,exports
United States of America,USA,1991,509319.7,421857.1
Canada,CAN,1991,132498.0203,126160.6423
Bahamas,BHM,1991,2223.714097,863.7092545
Cuba,CUB,1991,2360.572811,1065.129076
Haiti,HAI,1991,688.4787424,164.4067396
Dominican Republic,DOM,1991,2308.524183,660.729
Jamaica,JAM,1991,1797.781562,1173.379993
Trinidad and Tobago,TRI,1991,1647.097033,1981.931598
Barbados,BAR,1991,700.9013698,206.202
Dominica,DMA,1991,122.6598581,53.02508743
Grenada,GRN,1991,117.264,28.49501404
St. Lucia,SLU,1991,222.3627234,116.9880782
St. Vincent and the Grenadines,SVG,1991,139.6807407,67.1162963
Antigua & Barbuda,AAB,1991,,28.36436856
St. Kitts and Nevis,SKN,1991,93.09274133,28.4405474
Mexico,MEX,1991,54857.3795,42709.768
Belize,BLZ,1991,239.6065,91.365
Guatemala,GUA,1991,1892.6728,1204.6769
Honduras,HON,1991,879.8,779.9
El Salvador,SAL,1991,1406.550561,588.2434927
Nicaragua,NIC,1991,751.32,272.415
Costa Rica,COS,1991,1849.7607,1590.188
Panama,PAN,1991,1694.96889,341.768669
Colombia,COL,1991,4955.162054,7244.581
Venezuela,VEN,1991,11046.2792,16337.145
Guyana,GUY,1991,311.9249837,291.6587015
Suriname,SUR,1991,513.9836493,361.2852843
Ecuador,ECU,1991,2398.7791,2851.4153
Peru,PER,1991,2723.5021,3329.15
Brazil,BRA,1991,25531.29833,31619.751
Bolivia,BOL,1991,993.78659,652.013506
Paraguay,PAR,1991,1444.7301,791.258
Chile,CHL,1991,7630.2,9073.2
Argentina,ARG,1991,8275.273,11972.928
Uruguay,URU,1991,1552.095,1587.981
United Kingdom,UKG,1991,209933.0212,184977.6186
Ireland,IRE,1991,20750.71966,24216.04483
Netherlands,NTH,1991,125481.9269,133055.1662
Belgium,BEL,1991,113388.7031,110836.7031
Luxembourg,LUX,1991,113388.7031,110836.7031
France,FRN,1991,231761.7593,215779.0034
Liechtenstein,LIE,1991,,
Switzerland,SWZ,1991,66257.44125,61393.23683
Spain,SPN,1991,96657.46279,60306.40212
Portugal,POR,1991,26804.39846,17024.6143
Germany,GMY,1991,390110.7205,403170.1131
Poland,POL,1991,17084.33277,14912.54823
Austria,AUS,1991,50826.63276,41114.65856
Hungary,HUN,1991,11082.3,9971.6
Czechoslovakia,CZE,1991,11263.64176,10896.03935
Italy,ITA,1991,182680.0265,169554.7823
Malta,MLT,1991,2113.47273,1290.946404
Albania,ALB,1991,495.8877894,171.2066013
Yugoslavia,YUG,1991,16939.40007,15959.7472
Greece,GRC,1991,21564.06241,8669.798348
Cyprus,CYP,1991,2659.369506,975.208429
Bulgaria,BUL,1991,2715.051401,2051.429185
Moldova,MLD,1991,,
Romania,ROM,1991,5957.084091,4318.146301
Russia,RUS,1991,48384.55917,44578.18598
Estonia,EST,1991,,
Latvia,LAT,1991,,
Lithuania,LIT,1991,,
Ukraine,UKR,1991,,
Belarus,BLR,1991,,
Armenia,ARM,1991,,
Georgia,GRG,1991,,
Azerbaijan,AZE,1991,,
Finland,FIN,1991,21816.16195,23094.35264
Sweden,SWD,1991,45406.26639,51189.34985
Norway,NOR,1991,24696.70063,33425.67115
Denmark,DEN,1991,31906.42129,35093.65728
Iceland,ICE,1991,1717.001364,1548.882813
Cape Verde,CAP,1991,,
Sao Tome and Principe,STP,1991,35.10648154,21.11873626
Guinea-Bissau,GNB,1991,117.5566184,30.79386094
Equatorial Guinea,EQG,1991,85.65501584,37.15965941
Gambia,GAM,1991,311.2291358,165.9721581
Mali,MLI,1991,667.046223,266.6053468
Senegal,SEN,1991,1155.107614,651.4305423
Benin,BEN,1991,241.2463408,45.88348935
Mauritania,MAA,1991,480.5055426,524.2892913
Niger,NIR,1991,355.3085616,277.7174098
Ivory Coast,CDI,1991,2103.334009,2777.188564
Guinea,GUI,1991,690.9209676,652.7572082
Burkina Faso,BFO,1991,533.4905209,105.9591702
Liberia,LBR,1991,5036.406815,487.5390255
Sierra Leone,SIE,1991,217.7473541,144.722
Ghana,GHA,1991,511.131,617.368
Togo,TOG,1991,445.407,267.058
Cameroon,CAO,1991,1345.012953,1908.521329
Nigeria,NIG,1991,5370.443488,7726.467854
Gabon,GAB,1991,1086.086996,2519.041669
Central African Republic,CEN,1991,158.8347927,109.066972
Chad,CHA,1991,168.0421785,94.13678372
Congo,CON,1991,544.7723872,1107.119678
Democratic Republic of the Congo,DRC,1991,1029.460494,1599.721944
Uganda,UGA,1991,401.7004084,174.9190116
Kenya,KEN,1991,2178.172,1009.475
Tanzania,TAZ,1991,1231.40342,412.9720878
Burundi,BUI,1991,247.6955463,91.99086748
Rwanda,RWA,1991,306.27,91.465
Somalia,SOM,1991,161.1255328,98.33029299
Djibouti,DJI,1991,214.43,95.02830257
Ethiopia,ETH,1991,504.9644396,189.1547971
Angola,ANG,1991,1846.698066,3097.252128
Mozambique,MZM,1991,725,153.0771401
Zambia,ZAM,1991,810.0313159,1076.851069
Zimbabwe,ZIM,1991,2042.73662,1287.098304
Malawi,MAW,1991,617.8724966,481.8924904
South Africa,SAF,1991,,16277.68041
Namibia,NAM,1991,,416.3847708
Lesotho,LES,1991,,60.87770175
Botswana,BOT,1991,,327.1224465
Swaziland,SWA,1991,,376.7914916
Madagascar,MAG,1991,427.5853239,288.9711163
Comoros,COM,1991,116.967733,28.19868776
Mauritius,MAS,1991,1556.958851,1171.32883
Seychelles,SEY,1991,172.3665823,16.4860875
Morocco,MOR,1991,7519.736703,4726.00064
Algeria,ALG,1991,7683.286,11771.069
Tunisia,TUN,1991,5526.27478,4085.177729
Libya,LIB,1991,5339.273,11211.712
Sudan,SUD,1991,1400.844458,365.6244996
Iran,IRN,1991,29677.5,18661
Turkey,TUR,1991,21132.33,13722.812
Iraq,IRQ,1991,422.899943,487.0703715
Egypt,EGY,1991,7861.848,3659.377
Syria,SYR,1991,2743.378797,3432.045702
Lebanon,LEB,1991,3751.775004,552.6100992
Jordan,JOR,1991,2617.648823,1161.233067
Israel,ISR,1991,16819.1,11600.5
Saudi Arabia,SAU,1991,29073.80534,47816.48278
Yemen,YEM,1991,2037.481099,506.4786085
Kuwait,KUW,1991,3490.6,827.7191975
Bahrain,BAH,1991,4236.50189,1892.902366
Qatar,QAT,1991,1720.10989,3246.791139
United Arab Emirates,UAE,1991,13764.7,23546.02395
Oman,OMA,1991,3193.97444,4923.627241
Afghanistan,AFG,1991,443.105908,189.0293267
Turkmenistan,TKM,1991,,
Tajikistan,TAJ,1991,,
Kyrgyzstan,KYR,1991,,
Uzbekistan,UZB,1991,,
Kazakhstan,KZK,1991,,
China,CHN,1991,63876.83236,71963.16736
Mongolia,MON,1991,162.7971671,67.39267888
Taiwan,TAW,1991,,81770.76126
North Korea,PRK,1991,1504.252821,687.5825947
South Korea,ROK,1991,81825.857,72374.693
Japan,JPN,1991,236657.3413,314977.9928
India,IND,1991,19509.428,17871.488
Bhutan,BHU,1991,,
Pakistan,PAK,1991,8431.486256,6494.540619
Bangladesh,BNG,1991,3421.020535,1687.51093
Myanmar,MYA,1991,1067.91212,526.9870845
Sri Lanka,SRI,1991,3061.116952,1987.479303
