year,importer1,id1,importer2,id2,flow1,flow2
1990,United States of America,USA,Canada,CAN,93780.398,82777.609
1990,United States of America,USA,Bahamas,BHS,526.09998,880.88
1990,United States of America,USA,Cuba,CUB,0,1.54
1990,United States of America,USA,Haiti,HTI,356.39999,304.22955
1990,United States of America,USA,Dominican Republic,DOM,1826.5,908.60999
1990,United States of America,USA,Jamaica,JAM,610.70001,905.69269
1990,United States of America,USA,Trinidad and Tobago,TTO,1076.3,502.39023
1990,United States of America,USA,Barbados,BRB,32.5,236.04353
1990,United States of America,USA,Dominica,DMA,8.3000002,39.088013
1990,United States of America,USA,Grenada,GRD,7.9000001,33.321186
1990,United States of America,USA,St. Lucia,LCA,26.700001,90.639999
1990,United States of America,USA,St. Vincent and the Grenadines,VCT,8.8999996,49.576298
1990,United States of America,USA,Antigua & Barbuda,ATG,4.0999999,69.099998
1990,United States of America,USA,St. Kitts and Nevis,KNA,16,57.200001
1990,United States of America,USA,Mexico,MEX,30796.801,21830.182
1990,United States of America,USA,Belize,BLZ,49,122.0235
1990,United States of America,USA,Guatemala,GTM,873.40002,664.43451
1990,United States of America,USA,Honduras,HND,561.29999,348.10001
1990,United States of America,USA,El Salvador,SLV,255,541.24902
1990,United States of America,USA,Nicaragua,NIC,15.4,78.900002
1990,United States of America,USA,Costa Rica,CRI,1105,822.54181
1990,United States of America,USA,Panama,PAN,250.60001,519.74457
1990,United States of America,USA,Colombia,COL,3409.3,1979.2795
1990,United States of America,USA,Venezuela,VEN,9938.4004,3117.8811
1990,United States of America,USA,Guyana,GUY,52.099998,83.599998
1990,United States of America,USA,Suriname,SUR,53,193.97664
1990,United States of America,USA,Ecuador,ECU,1546.8,583.25311
1990,United States of America,USA,Peru,PER,852.09998,880.5379
1990,United States of America,USA,Brazil,BRA,8585.7002,4955.5332
1990,United States of America,USA,Bolivia,BOL,209.89999,156.13658
1990,United States of America,USA,Paraguay,PRY,55.900002,166.7171
1990,United States of America,USA,Chile,CHL,1570.7,1373.4
1990,United States of America,USA,Argentina,ARG,1664.3,876.479
1990,United States of America,USA,Uruguay,URY,336,137.685
1990,United States of America,USA,United Kingdom,GBR,20931.6,25035.904
1990,United States of America,USA,Ireland,IRL,1794.1,3004.293
1990,United States of America,USA,Netherlands,NLD,5257.7998,9677.1787
1990,United States of America,USA,Belgium,BEL,4500.707,4969.6909
1990,United States of America,USA,Luxembourg,LUX,267.99329,295.91879
1990,United States of America,USA,France,FRA,13593.7,18956.025
1990,United States of America,USA,Liechtenstein,LIE,-9,-9
1990,United States of America,USA,Switzerland,CHE,5556.3999,4259.6191
1990,United States of America,USA,Spain,ESP,3546.2,7268.8125
1990,United States of America,USA,Portugal,PRT,885.70001,970.41992
1990,United States of America,USA,Germany,DEU,29080.301,22921.922
1990,United States of America,USA,Poland,POL,442.79999,146.02245
1990,United States of America,USA,Austria,AUT,1373.5,1794.5015
1990,United States of America,USA,Hungary,HUN,377.39999,227.9377
1990,United States of America,USA,Czechoslovakia,CHESLO,94.400002,83.817307
1990,United States of America,USA,Italy,ITA,13395.4,9254.292
1990,United States of America,USA,Malta,MLT,40.599998,64.995941
1990,United States of America,USA,Albania,ALB,2.5,11.22
1990,United States of America,USA,Yugoslavia,YUG,796.70001,854.45898
1990,United States of America,USA,Greece,GRC,552.09998,728.64679
1990,United States of America,USA,Cyprus,CYP,18.4,181.97694
1990,United States of America,USA,Bulgaria,BGR,52.700001,92.730003
1990,United States of America,USA,Romania,ROU,252.89999,471.10739
1990,United States of America,USA,Russia,RUS,1168.4,3396.3601
1990,United States of America,USA,Finland,FIN,1358.1,1838.5662
1990,United States of America,USA,Sweden,SWE,5112.2002,4615.3237
1990,United States of America,USA,Norway,NOR,1963.9,2109.4524
1990,United States of America,USA,Denmark,DNK,1755.5,1949.7299
1990,United States of America,USA,Iceland,ISL,173.60001,237.73509
1990,United States of America,USA,Cape Verde,CPV,-9,-9
1990,United States of America,USA,Sao Tome and Principe,STP,0,14.3
1990,United States of America,USA,Guinea-Bissau,GNB,0.1,1.3200001
1990,United States of America,USA,Equatorial Guinea,GNQ,0,0
1990,United States of America,USA,Gambia,GMB,0,0
1990,United States of America,USA,Mali,MLI,2.3,9.8999996
1990,United States of America,USA,Senegal,SEN,4.4000001,85.748741
1990,United States of America,USA,Benin,BEN,21.5,23.077744
1990,United States of America,USA,Mauritania,MRT,23.9,24.111191
1990,United States of America,USA,Niger,NER,46.099998,22.4671
1990,United States of America,USA,Ivory Coast,CIV,224.5,101.16293
1990,United States of America,USA,Guinea,GIN,141.2,47.189999
1990,United States of America,USA,Burkina Faso,BFA,1.3,33.783417
1990,United States of America,USA,Liberia,LBR,52.700001,48.84
1990,United States of America,USA,Sierra Leone,SLE,46.099998,16.874798
1990,United States of America,USA,Ghana,GHA,178.2,152.35001
1990,United States of America,USA,Togo,TGO,3.5999999,30.811001
1990,United States of America,USA,Cameroon,CMR,170.3,73.054161
1990,United States of America,USA,Nigeria,NGA,6395.7002,373.91995
1990,United States of America,USA,Gabon,GAB,805,53.790001
1990,United States of America,USA,Central African Republic,CAF,2.2,1.54
1990,United States of America,USA,Chad,TCD,1.3,8.8000002
1990,United States of America,USA,Congo,COG,441.39999,35.065144
1990,United States of America,USA,Democratic Republic of the Congo,COD,331.39999,91.4506
1990,United States of America,USA,Uganda,UGA,15.7,28.6
1990,United States of America,USA,Kenya,KEN,63.200001,172.599
1990,United States of America,USA,Tanzania,TZA,15.4,15.954399
1990,United States of America,USA,Burundi,BDI,8.1999998,2.3975885
1990,United States of America,USA,Rwanda,RWA,31,2.0999999
1990,United States of America,USA,Somalia,SOM,0,12.65
1990,United States of America,USA,Djibouti,DJI,0,6.9941087
1990,United States of America,USA,Ethiopia,ETH,42.400002,57.803001
1990,United States of America,USA,Angola,AGO,2099.3999,164.67
1990,United States of America,USA,Mozambique,MOZ,28.9,55.330002
1990,United States of America,USA,Zambia,ZMB,28.5,123.56165
1990,United States of America,USA,Zimbabwe,ZWE,118.5,127.32561
1990,United States of America,USA,Malawi,MWI,52.700001,12.394175
1990,United States of America,USA,South Africa,ZAF,1752,1732.4
1990,United States of America,USA,Namibia,NAM,33.200001,44.299999
1990,United States of America,USA,Lesotho,LSO,25.1,2.8
1990,United States of America,USA,Botswana,BWA,14.3,19.1
1990,United States of America,USA,Swaziland,SWZ,34.200001,7.9000001
1990,United States of America,USA,Madagascar,MDG,41.599998,13.122294
1990,United States of America,USA,Comoros,COM,4.8000002,0
1990,United States of America,USA,Mauritius,MUS,155.60001,77.632492
1990,United States of America,USA,Seychelles,SYC,0.5,3.4476943
1990,United States of America,USA,Morocco,MAR,117.4,434.09995
1990,United States of America,USA,Algeria,DZA,2847.6001,1123.089
1990,United States of America,USA,Tunisia,TUN,33.900002,298.69781
1990,United States of America,USA,Libya,LBY,0,69.960999
1990,United States of America,USA,Sudan,SDN,15.7,46.529999
1990,United States of America,USA,Iran,IRN,2.0999999,62
1990,United States of America,USA,Turkey,TUR,1155.2,2281.615
1990,United States of America,USA,Iraq,IRQ,3247.3,703.66998
1990,United States of America,USA,Egypt,EGY,435.20001,1300.554
1990,United States of America,USA,Syria,SYR,57.299999,257.71118
1990,United States of America,USA,Lebanon,LBN,24.799999,108.02
1990,United States of America,USA,Jordan,JOR,12.1,451.22006
1990,United States of America,USA,Israel,ISR,3400.8999,2722.8
1990,United States of America,USA,Saudi Arabia,SAU,10733.4,4021.9617
1990,United States of America,USA,Yemen,YEM,399.5,122.21
1990,United States of America,USA,Kuwait,KWT,625,441
1990,United States of America,USA,Bahrain,BHR,89.800003,264.569
1990,United States of America,USA,Qatar,QAT,58,160.57692
1990,United States of America,USA,United Arab Emirates,ARE,952.40002,1049
1990,United States of America,USA,Oman,OMN,319.20001,250.80104
1990,United States of America,USA,Afghanistan,AFG,4.9000001,4.8400002
1990,United States of America,USA,China,CHN,16295.8,6591.022
1990,United States of America,USA,Mongolia,MNG,2,0
1990,United States of America,USA,Taiwan,TWN,23917,11559.7
1990,United States of America,USA,North Korea,PRK,0,0
1990,United States of America,USA,South Korea,KOR,19287.1,16946.4
1990,United States of America,USA,Japan,JPN,93069.5,52841.523
1990,United States of America,USA,India,IND,3421.3999,2634.8406
1990,United States of America,USA,Bhutan,BTN,0,0.40000001
1990,United States of America,USA,Pakistan,PAK,656.20001,946.34039
1990,United States of America,USA,Bangladesh,BGD,593.79999,185.96753
1990,United States of America,USA,Myanmar,MMR,22.6,19.291155
1990,United States of America,USA,Sri Lanka,LKA,526.09998,207.31976
1990,United States of America,USA,Maldives,MDV,17,0.755
1990,United States of America,USA,Nepal,NPL,50.400002,14.019072
1990,United States of America,USA,Thailand,THA,5589,3600.4421
1990,United States of America,USA,Cambodia,KHM,0,0
1990,United States of America,USA,Laos,LAO,0.1,1.1
1990,United States of America,USA,Vietnam,VNM,0.005,0.56599998
1990,United States of America,USA,Malaysia,MYS,5496.2998,4944.2466
1990,United States of America,USA,Singapore,SGP,10096.4,9800.5547
1990,United States of America,USA,Brunei,BRN,92.300003,152.79317
1990,United States of America,USA,Philippines,PHL,3622.6001,2538.4001
1990,United States of America,USA,Indonesia,IDN,3681.3999,2519.5244
1990,United States of America,USA,Australia,AUS,4897.5,10366.931
1990,United States of America,USA,Papua New Guinea,PNG,21.9,126.86858
1990,United States of America,USA,New Zealand,NZL,1326.6,1703.4158
1990,United States of America,USA,Vanuatu,VUT,1,6.4899998
1990,United States of America,USA,Solomon Islands,SLB,2.7986627,6.0036201
1990,United States of America,USA,Fiji,FJI,33.900002,98.582451
1990,United States of America,USA,Samoa,WSM,1.1,8.0190258
1990,Canada,CAN,Bahamas,BHS,55.663002,47.534466
1990,Canada,CAN,Cuba,CUB,122.70523,149.69492
1990,Canada,CAN,Haiti,HTI,13.913394,16.178133
1990,Canada,CAN,Dominican Republic,DOM,37.422295,39.70681
1990,Canada,CAN,Jamaica,JAM,148.08459,112.58048
1990,Canada,CAN,Trinidad and Tobago,TTO,23.343918,73.276306
1990,Canada,CAN,Barbados,BRB,14.366866,40.122658
1990,Canada,CAN,Dominica,DMA,0.074478798,2.9793501
1990,Canada,CAN,Grenada,GRD,0.080135413,5.1507778
1990,Canada,CAN,St. Lucia,LCA,9.0977268,7.3547654
1990,Canada,CAN,St. Vincent and the Grenadines,VCT,0.25266224,5.2785187
1990,Canada,CAN,Antigua & Barbuda,ATG,0.1706413,5.3884864
1990,Canada,CAN,St. Kitts and Nevis,KNA,0.032054167,4.831461
1990,Canada,CAN,Mexico,MEX,1630.8481,429.80301
1990,Canada,CAN,Belize,BLZ,9.9990139,4.3144999
1990,Canada,CAN,Guatemala,GTM,35.565983,24.0989
1990,Canada,CAN,Honduras,HND,12.476613,7.9000001
1990,Canada,CAN,El Salvador,SLV,17.82023,13.834
1990,Canada,CAN,Nicaragua,NIC,59.671658,20.1
1990,Canada,CAN,Costa Rica,CRI,54.312016,29.3435
1990,Canada,CAN,Panama,PAN,4.0293975,11.188498
1990,Canada,CAN,Colombia,COL,124.59266,196.78467
1990,Canada,CAN,Venezuela,VEN,529.81012,194.72168
1990,Canada,CAN,Guyana,GUY,23.170448,10.232009
1990,Canada,CAN,Suriname,SUR,0.30545735,0.39719924
1990,Canada,CAN,Ecuador,ECU,139.49031,40.960899
1990,Canada,CAN,Peru,PER,118.54856,25.1845
1990,Canada,CAN,Brazil,BRA,744.36469,534.40747
